date,is_festive_season,festival_name,harvest_season_type
2019_06_02,0,None,Zaid Lean Season
2019_06_03,0,None,Zaid Lean Season
2019_06_04,0,None,Zaid Lean Season
2019_06_05,1,Id-ul-Fitr,Zaid Lean Season
2019_06_06,0,None,Zaid Lean Season
2019_06_07,0,None,Zaid Lean Season
2019_06_08,0,None,Zaid Lean Season
2019_06_09,0,None,Zaid Lean Season
2019_06_10,0,None,Zaid Lean Season
2019_06_11,0,None,Zaid Lean Season
2019_06_12,0,None,Zaid Lean Season
2019_06_13,0,None,Zaid Lean Season
2019_06_14,0,None,Zaid Lean Season
2019_06_15,0,None,Zaid Lean Season
2019_06_16,0,None,Zaid Lean Season
2019_06_17,0,None,Zaid Lean Season
2019_06_18,0,None,Zaid Lean Season
2019_06_19,0,None,Zaid Lean Season
2019_06_20,0,None,Zaid Lean Season
2019_06_21,0,None,Zaid Lean Season
2019_06_22,0,None,Zaid Lean Season
2019_06_23,0,None,Zaid Lean Season
2019_06_24,0,None,Zaid Lean Season
2019_06_25,0,None,Zaid Lean Season
2019_06_26,0,None,Zaid Lean Season
2019_06_27,0,None,Zaid Lean Season
2019_06_28,0,None,Zaid Lean Season
2019_06_29,0,None,Zaid Lean Season
2019_06_30,0,None,Zaid Lean Season
2019_07_01,0,None,Zaid Lean Season
2019_07_02,0,None,Zaid Lean Season
2019_07_03,0,None,Zaid Lean Season
2019_07_04,0,None,Zaid Lean Season
2019_07_05,0,None,Zaid Lean Season
2019_07_06,0,None,Zaid Lean Season
2019_07_07,0,None,Zaid Lean Season
2019_07_08,0,None,Zaid Lean Season
2019_07_09,0,None,Zaid Lean Season
2019_07_10,0,None,Zaid Lean Season
2019_07_11,0,None,Zaid Lean Season
2019_07_12,0,None,Zaid Lean Season
2019_07_13,0,None,Zaid Lean Season
2019_07_14,0,None,Zaid Lean Season
2019_07_15,0,None,Zaid Lean Season
2019_07_16,0,None,Zaid Lean Season
2019_07_17,0,None,Zaid Lean Season
2019_07_18,0,None,Zaid Lean Season
2019_07_19,0,None,Zaid Lean Season
2019_07_20,0,None,Zaid Lean Season
2019_07_21,0,None,Zaid Lean Season
2019_07_22,0,None,Zaid Lean Season
2019_07_23,0,None,Zaid Lean Season
2019_07_24,0,None,Zaid Lean Season
2019_07_25,0,None,Zaid Lean Season
2019_07_26,0,None,Zaid Lean Season
2019_07_27,0,None,Zaid Lean Season
2019_07_28,0,None,Zaid Lean Season
2019_07_29,0,None,Zaid Lean Season
2019_07_30,0,None,Zaid Lean Season
2019_07_31,0,None,Zaid Lean Season
2019_08_01,0,None,Zaid Lean Season
2019_08_02,0,None,Zaid Lean Season
2019_08_03,0,None,Zaid Lean Season
2019_08_04,0,None,Zaid Lean Season
2019_08_05,0,None,Zaid Lean Season
2019_08_06,0,None,Zaid Lean Season
2019_08_07,0,None,Zaid Lean Season
2019_08_08,0,None,Zaid Lean Season
2019_08_09,0,None,Zaid Lean Season
2019_08_10,0,None,Zaid Lean Season
2019_08_11,0,None,Zaid Lean Season
2019_08_12,1,Id-ul-Zuha (Bakrid),Zaid Lean Season
2019_08_13,0,None,Zaid Lean Season
2019_08_14,0,None,Zaid Lean Season
2019_08_15,1,Independence Day,Zaid Lean Season
2019_08_16,0,None,Zaid Lean Season
2019_08_17,0,None,Zaid Lean Season
2019_08_18,0,None,Zaid Lean Season
2019_08_19,0,None,Zaid Lean Season
2019_08_20,0,None,Zaid Lean Season
2019_08_21,0,None,Zaid Lean Season
2019_08_22,0,None,Zaid Lean Season
2019_08_23,0,None,Zaid Lean Season
2019_08_24,1,Janmashtami (Vaishnava),Zaid Lean Season
2019_08_25,0,None,Zaid Lean Season
2019_08_26,0,None,Zaid Lean Season
2019_08_27,0,None,Zaid Lean Season
2019_08_28,0,None,Zaid Lean Season
2019_08_29,0,None,Zaid Lean Season
2019_08_30,0,None,Zaid Lean Season
2019_08_31,0,None,Zaid Lean Season
2019_09_01,1,None,Kharif Harvest
2019_09_02,1,None,Kharif Harvest
2019_09_03,1,None,Kharif Harvest
2019_09_04,1,None,Kharif Harvest
2019_09_05,1,None,Kharif Harvest
2019_09_06,1,None,Kharif Harvest
2019_09_07,1,None,Kharif Harvest
2019_09_08,1,None,Kharif Harvest
2019_09_09,1,None,Kharif Harvest
2019_09_10,1,Muharram,Kharif Harvest
2019_09_11,1,None,Kharif Harvest
2019_09_12,1,None,Kharif Harvest
2019_09_13,1,None,Kharif Harvest
2019_09_14,1,None,Kharif Harvest
2019_09_15,1,None,Kharif Harvest
2019_09_16,1,None,Kharif Harvest
2019_09_17,1,None,Kharif Harvest
2019_09_18,1,None,Kharif Harvest
2019_09_19,1,None,Kharif Harvest
