calibration_design,calibration_split_scope,cqr_offset_qconf_rs_qtl,test_2025_coverage_pct,target_coverage_pct,test_2025_mpiw_rs_qtl,methodological_note
"Full 2024 Validation Pool (19,398 rows)","All 2024 (Jan 1 to Dec 31, 2024)",3.28,79.49,80.0,228.78,Full seasonal coverage across entire Kharif & Rabi calendar.
"Isolated 2024B Temporal Split (Jul-Dec 2024, 9,699 rows)",Strictly 2024-07-01 to 2024-12-31 (Isolated from tuning),2.53,78.93,80.0,227.28,"The isolated temporal subsplit remains close to the full-pool result: 78.93% versus 79.49% test coverage, with MPIW Rs 227.28 versus Rs 228.78/qtl."
