variable,raw_significant_percentage,fdr_adjusted_significant_percentage,avg_min_p_value,total_series_groups
rainfall_mm,71.7,60.38,0.0488,53
arrivals_in_qtl,100.0,100.0,0.0,53
temp_max,92.45,92.45,0.0338,53
